Date;Week;Day;Holiday
3-9-2010;36;6;0
4-9-2010;36;7;0
5-9-2010;37;1;0
6-9-2010;37;2;0
7-9-2010;37;3;0
8-9-2010;37;4;0
9-9-2010;37;5;0
10-9-2010;37;6;0
11-9-2010;37;7;0
12-9-2010;38;1;0
13-9-2010;38;2;0
14-9-2010;38;3;0
15-9-2010;38;4;0
16-9-2010;38;5;0
17-9-2010;38;6;0
18-9-2010;38;7;0
19-9-2010;39;1;0
20-9-2010;39;2;0
21-9-2010;39;3;0
22-9-2010;39;4;0
23-9-2010;39;5;0
24-9-2010;39;6;0
25-9-2010;39;7;0
26-9-2010;40;1;0
27-9-2010;40;2;0
28-9-2010;40;3;0
29-9-2010;40;4;0
30-9-2010;40;5;0
1-10-2010;40;6;0
2-10-2010;40;7;0
3-10-2010;41;1;0
4-10-2010;41;2;0
5-10-2010;41;3;0
6-10-2010;41;4;0
7-10-2010;41;5;0
8-10-2010;41;6;0
9-10-2010;41;7;0
10-10-2010;42;1;0
11-10-2010;42;2;0
12-10-2010;42;3;0
13-10-2010;42;4;0
14-10-2010;42;5;0
15-10-2010;42;6;0
16-10-2010;42;7;0
17-10-2010;43;1;0
18-10-2010;43;2;0
19-10-2010;43;3;0
20-10-2010;43;4;0
21-10-2010;43;5;0
22-10-2010;43;6;0
23-10-2010;43;7;1
24-10-2010;44;1;1
25-10-2010;44;2;1
26-10-2010;44;3;1
27-10-2010;44;4;1
28-10-2010;44;5;1
29-10-2010;44;6;1
30-10-2010;44;7;1
31-10-2010;45;1;1
1-11-2010;45;2;0
2-11-2010;45;3;0
3-11-2010;45;4;0
4-11-2010;45;5;0
5-11-2010;45;6;0
6-11-2010;45;7;0
7-11-2010;46;1;0
8-11-2010;46;2;0
9-11-2010;46;3;0
10-11-2010;46;4;0
11-11-2010;46;5;0
12-11-2010;46;6;0
13-11-2010;46;7;0
14-11-2010;47;1;0
15-11-2010;47;2;0
16-11-2010;47;3;0
17-11-2010;47;4;0
18-11-2010;47;5;0
19-11-2010;47;6;0
20-11-2010;47;7;0
21-11-2010;48;1;0
22-11-2010;48;2;0
23-11-2010;48;3;0
24-11-2010;48;4;0
25-11-2010;48;5;0
26-11-2010;48;6;0
27-11-2010;48;7;0
28-11-2010;49;1;0
29-11-2010;49;2;0
30-11-2010;49;3;0
1-12-2010;49;4;0
2-12-2010;49;5;0
3-12-2010;49;6;0
4-12-2010;49;7;0
5-12-2010;50;1;0
6-12-2010;50;2;0
7-12-2010;50;3;0
8-12-2010;50;4;0
9-12-2010;50;5;0
10-12-2010;50;6;0
11-12-2010;50;7;0
12-12-2010;51;1;0
13-12-2010;51;2;0
14-12-2010;51;3;0
15-12-2010;51;4;0
16-12-2010;51;5;0
17-12-2010;51;6;0
18-12-2010;51;7;1
19-12-2010;52;1;1
20-12-2010;52;2;1
21-12-2010;52;3;1
22-12-2010;52;4;1
23-12-2010;52;5;1
24-12-2010;52;6;1
25-12-2010;52;7;1
26-12-2010;53;1;1
27-12-2010;53;2;1
28-12-2010;53;3;1
29-12-2010;53;4;1
30-12-2010;53;5;1
31-12-2010;53;6;1
1-1-2011;1;7;1
2-1-2011;2;1;1
